scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,chineseRating,chineseDate,chineseAuthor,chineseAuthorKarma,Original Entropy,Translated Entropy
SCP-CN-1000,/scp-cn-1000,2300,"+12,+12,+12,+12",29 Mar 2019 00:01,Cynthia7979,very high,"+574,+574,+574,+574",30 Oct 2018 15:25,Infas12,very high,5.618233200671133,3.3604891600886218
SCP-CN-994,/scp-cn-994,I See You,+26,18 Mar 2018 07:50,W Asriel,guru,+858,11 Mar 2018 01:28,AndyBlocker,high,2.119454596368794,1.3676144104082386
SCP-CN-918,/scp-cn-918,,+4,04 May 2018 14:48,Idokoe,high,+49,29 Apr 2018 15:46,qjfoidnh,very high,4.611116249727016,3.217030073447427
SCP-CN-844,/scp-cn-844,The Seed of Lovesickness,0,20 Jul 2018 07:09,Cynthia7979,very high,+19,02 Jun 2018 14:48,Cynthia7979,very high,5.307034666519626,3.4240831536955367
SCP-CN-767,/scp-cn-767,Chart Syndrome,+11,10 Aug 2018 14:28,KirkeStein,high,+118,15 Feb 2018 09:08,breaddddd,very high,2.8726092495323923,3.09281080656589
SCP-CN-713,/scp-cn-713,Keyboard Fish,+2,18 Mar 2019 18:48,pokm,very high,+53,23 Oct 2018 19:03,pokm,very high,4.94082860414415,3.3214839575677875
SCP-CN-675,/scp-cn-675,The Great Kyet Khaewt Device,+12,17 Feb 2017 01:01,SporArain,medium,+62,14 Aug 2016 12:13,EdwardC,high,5.5002483984556525,3.2402722750384525
SCP-CN-666,/scp-cn-666,Hold the Bottom Line,+6,19 Sep 2017 15:39,W Asriel,guru,+77,11 May 2017 15:28,ashausesall,high,5.784108885110732,3.17066100140718
SCP-CN-546,/scp-cn-546,Our Secrets,+3,14 Sep 2019 02:53,la kanro,high,+61,17 Jul 2015 09:00,ppp83221,low,5.640586023547819,3.2494649404387257
SCP-CN-463,/scp-cn-463,Grandma(Archived),+8,29 Jan 2018 16:05,Hensec Stutter,very high,+130,10 Feb 2018 20:01,Mengsk_VAC,none,4.419344608415266,3.26268907216715
SCP-CN-369,/scp-cn-369,Self-Declaration Rostrum,+1,12 Apr 2017 08:08,Greenson,high,+16,17 Jul 2015 03:05,ppp83221,low,5.439335962140593,3.1076178849863996
SCP-CN-312,/scp-cn-312,What Does She Know?,+4,20 Apr 2018 20:32,Idokoe,high,+80,23 Mar 2018 03:41,Freedom Koo,very high,5.0668081984158775,3.1785420058229477
SCP-CN-176,/scp-cn-176,Uncle Sweets,+4,28 Oct 2018 05:58,Talvi,medium,+39,14 Feb 2018 07:41,Hannah_AI,guru,5.138530756757684,3.226597332400038
SCP-CN-166,/scp-cn-166,Embryos,+10,07 Jan 2018 11:10,Whisper1,low,+31,17 Aug 2017 23:40,Dr Prism,high,5.7946418406130356,3.1500749208107517
SCP-CN-048,/scp-cn-048,A Failed Attempt,+4,13 Apr 2018 17:18,Idokoe,high,+343,29 Jan 2017 10:02,DrSee,high,5.1236986639494635,4.790516526068486
