scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,chineseRating,chineseDate,chineseAuthor,chineseAuthorKarma,original entropy,translated entropy
SCP-CN-1000,/scp-cn-1000,2300,"+12,+12,+12,+12",29 Mar 2019 00:01,Cynthia7979,very high,"+574,+574,+574,+574",30 Oct 2018 15:25,Infas12,very high,1.0204138370450695,5.911295392636481
SCP-CN-994,/scp-cn-994,I See You,+26,18 Mar 2018 07:50,W Asriel,guru,+858,11 Mar 2018 01:28,AndyBlocker,high,0.7334354496666183,0.21262682366313795
SCP-CN-918,/scp-cn-918,,+4,04 May 2018 14:48,Idokoe,high,+49,29 Apr 2018 15:46,qjfoidnh,very high,0.7334354496666183,4.368989036452925
SCP-CN-844,/scp-cn-844,The Seed of Lovesickness,0,20 Jul 2018 07:09,Cynthia7979,very high,+19,02 Jun 2018 14:48,Cynthia7979,very high,0.9682822070097729,5.700488220958948
SCP-CN-767,/scp-cn-767,Chart Syndrome,+11,10 Aug 2018 14:28,KirkeStein,high,+118,15 Feb 2018 09:08,breaddddd,very high,0.7334354496666183,1.4368099406332606
SCP-CN-713,/scp-cn-713,Keyboard Fish,+2,18 Mar 2019 18:48,pokm,very high,+53,23 Oct 2018 19:03,pokm,very high,1.1813337356250222,5.033083004520512
SCP-CN-675,/scp-cn-675,The Great Kyet Khaewt Device,+12,17 Feb 2017 01:01,SporArain,medium,+62,14 Aug 2016 12:13,EdwardC,high,1.312827285669396,5.474525569936805
SCP-CN-666,/scp-cn-666,Hold the Bottom Line,+6,19 Sep 2017 15:39,W Asriel,guru,+77,11 May 2017 15:28,ashausesall,high,0.9682822070097729,6.126256232977538
SCP-CN-546,/scp-cn-546,Our Secrets,+3,14 Sep 2019 02:53,la kanro,high,+61,17 Jul 2015 09:00,ppp83221,low,1.1813337356250222,5.6590381514589065
SCP-CN-463,/scp-cn-463,Grandma(Archived),+8,29 Jan 2018 16:05,Hensec Stutter,very high,+130,10 Feb 2018 20:01,Mengsk_VAC,none,0.7334354496666183,4.106721484511126
SCP-CN-369,/scp-cn-369,Self-Declaration Rostrum,+1,12 Apr 2017 08:08,Greenson,high,+16,17 Jul 2015 03:05,ppp83221,low,0.8143610390440604,5.520232383641176
SCP-CN-312,/scp-cn-312,What Does She Know?,+4,20 Apr 2018 20:32,Idokoe,high,+80,23 Mar 2018 03:41,Freedom Koo,very high,0.7334354496666183,4.946556565615024
SCP-CN-176,/scp-cn-176,Uncle Sweets,+4,28 Oct 2018 05:58,Talvi,medium,+39,14 Feb 2018 07:41,Hannah_AI,guru,0.8925956996664035,5.131148089011594
SCP-CN-166,/scp-cn-166,Embryos,+10,07 Jan 2018 11:10,Whisper1,low,+31,17 Aug 2017 23:40,Dr Prism,high,0.7334354496666183,5.905552911421026
SCP-CN-048,/scp-cn-048,A Failed Attempt,+4,13 Apr 2018 17:18,Idokoe,high,+343,29 Jan 2017 10:02,DrSee,high,2.024834325901161,3.1525756079449256
