scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,germanRating,germanDate,germanAuthor,germanAuthorKarma,Original Entropy,Translated Entropy
SCP-190-DE,/scp-190-de,"Thor, God of Kebab","+2,+2,+2,+2",24 Feb 2019 18:46,ThePaperMask,very high,"+10,+10,+10,+10",17 Feb 2019 11:53,Dr Ore,guru,6.419453592796891,6.174788242926077
SCP-179-DE,/scp-179-de,To the most Righteous,"+5,+5,+5,+5",07 Mar 2019 08:55,Dr Ore,guru,"+5,+5,+5,+5",07 Mar 2019 08:44,Dr Ore,guru,6.124732652398821,5.870975895698754
SCP-177-DE,/scp-177-de,The Rungholt Shard,+5,01 Oct 2019 17:04,Tanija,very high,"+5,+5,+5,+5,+5,+5",11 Aug 2019 10:35,Tanija,very high,5.836428681817862,5.506485156953339
SCP-188-DE,/scp-188-de,B4 “Blitzgewitter”,+3,22 Nov 2018 12:04,Dr_Grom,guru,"+8,+8,+8,+8",08 Jan 2018 12:10,Dr_Grom,guru,6.83076521022626,6.437263182860178
SCP-168-DE,/scp-168-de,A copy of the Fersehturm Berlin,+3,20 Jan 2019 14:20,Dr Ore,guru,"+7,+7,+7,+7",19 Jan 2019 16:42,Dr Ore,guru,4.776385918216465,4.471838792012493
SCP-150-DE,/scp-150-de,Die Verteidiger,"+3,+3,+3,+3",30 Nov 2018 21:47,Dr Ore,guru,"+10,+10,+10,+10",23 Aug 2018 17:27,Dr Ore,guru,6.669720460489189,6.380103414044353
SCP-149-DE,/scp-149-de,The Spirit of Ruin,"+1,+1,+1,+1",08 Sep 2019 11:07,Dr Ore,guru,"+10,+10,+10,+10",17 Jan 2018 18:36,Dr Ore,guru,6.440759888381772,6.180493557212661
SCP-180-DE,/scp-180-de,A little cute Birthdaypenguin,+3,08 Oct 2018 12:32,Dr_scp_Robin,very high,"+8,+8,+8,+8",25 Aug 2018 09:13,Dr_scp_Robin,very high,5.809346714160263,5.490023129872066
SCP-125-DE,/scp-125-de,The Imprisoned Regent,+4,05 Aug 2018 16:31,Dr Ore,guru,"+14,+14,+14,+14",15 Jul 2017 22:27,Dr Ore,guru,6.373979470194993,6.158174478272102
SCP-124-DE,/scp-124-de,Don't notice me,+1,18 Aug 2018 12:00,Einer von Rabe,guru,"+13,+13,+13,+13",08 Aug 2018 19:05,Einer von Rabe,guru,6.699251156369581,6.420890769380513
SCP-098-DE,/scp-098-de,Demon vs Machine,"0,0,0,0",27 Feb 2019 06:42,ThePaperMask,very high,"+12,+12,+12,+12",26 May 2017 10:02,Dr Ore,guru,6.394073764642845,6.149208200056332
SCP-099-DE,/scp-099-de,Gasmen,+6,05 Feb 2017 23:20,Dr_Grom,guru,"+14,+14,+14,+14",06 Apr 2016 10:39,Dr_Grom,guru,6.113209471451679,5.883127566399044
SCP-096-DE,/scp-096-de,A Cosmic Phenomenon,+8,03 Mar 2018 15:31,ThePaperMask,very high,"+15,+15,+15,+15",10 Oct 2017 17:39,Dr Ore,guru,6.055202081917055,5.794131253048339
SCP-089-DE,/scp-089-de,The Athena Project,+6,17 Dec 2017 17:35,Dr Ore,guru,"+9,+9,+9,+9",04 Jun 2017 12:30,Dr Ore,guru,6.2526596567007715,6.015538255384824
SCP-091-DE,/scp-091-de,The Loving Doll,"+3,+3,+3,+3",24 Feb 2019 20:40,Sonicast,high,"+6,+6,+6,+6",24 Apr 2018 22:12,Einer von Rabe,guru,6.0941231370008495,5.923215910039637
SCP-076-DE,/scp-076-de,Face-Swap App,+3,21 Jun 2018 06:00,Dr_Grom,guru,"+6,+6,+6,+6",06 Apr 2018 06:01,Doctor-Chaos,none,5.693726227978792,5.462634739952546
SCP-070-DE,/scp-070-de,Pink Colony,-2,03 Apr 2017 15:59,Nederbird,high,+8,23 Jul 2016 17:58,ThePencilwriter,very high,5.1200003455930805,4.929471614764946
