scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,spanishRating,spanishDate,spanishAuthor,spanishAuthorKarma,original entropy,translated entropy
SCP-ES-193,/scp-es-193,"On the 13th of April, 2013, a Train Fell From the Sky",+4,26 Sep 2019 22:11,Uncle Nicolini,guru,+25,06 Sep 2019 02:37,Dc_Yerko,very high,6.7101409586676235,6.686159651274675
SCP-ES-194,/scp-es-194,That motherfucker Fidel Castro just won't stay dead!,+6,05 Aug 2019 21:51,Agente marw,very high,+12,20 Jun 2019 13:05,Uncle Nicolini,guru,5.024496601407552,4.9964215402276215
SCP-ES-199,/scp-es-199,Institution for Dealing with Your Issues of Normalcy,+8,23 Jan 2019 20:02,morhadow,guru,"+31,+31,+31,+31",29 Aug 2018 05:57,LazyLasagne,guru,6.31645960272412,6.237716873307191
SCP-ES-169,/scp-es-169,The Hentai Dream Made True,+11,05 Sep 2019 23:09,Almarduk,high,+28,07 Jun 2019 03:00,Dc_Yerko,very high,6.4154826087072205,6.4340284174923505
SCP-ES-157,/scp-es-157,Coppélia,+4,27 Aug 2019 21:28,Agente marw,very high,+9,15 Aug 2019 21:49,Uncle Nicolini,guru,5.179054187140471,5.19797714033426
SCP-ES-145,/scp-es-145,Funerary Licentiousness,+4,08 Oct 2018 14:20,morhadow,guru,+8,11 Jun 2018 18:30,Dr Reach,guru,5.317114594260626,5.32241818539568
SCP-ES-143,/scp-es-143,May the Light of St. George lead us to Victory,+5,25 May 2019 09:53,morhadow,guru,+7,24 May 2019 18:12,morhadow,guru,5.638518898369875,5.646286000403707
SCP-ES-136,/scp-es-136,Penitent Cry,+2,09 Oct 2018 11:26,morhadow,guru,+6,11 Jun 2018 14:30,Dr Reach,guru,5.026347518890109,5.03963153330297
SCP-ES-142,/scp-es-142,The Bones of the Saints,"+7,+7,+7,+7",26 Apr 2019 04:22,Jakuwoski,very high,+7,22 Apr 2019 00:03,Jakuwoski,very high,5.994154761179661,5.944059617544505
SCP-ES-125,/scp-es-125,North Korean Orbital Bombardment System,+5,26 Aug 2019 23:33,Agente marw,very high,+10,30 Jun 2019 12:40,Uncle Nicolini,guru,4.768132583965475,4.797133642217031
SCP-ES-122,/scp-es-122,greatGreenishGreenery v1.01,+5,09 Oct 2019 18:13,JackalRelated,very high,+15,23 Feb 2019 00:59,LazyLasagne,guru,6.0667846906236935,6.06997528222745
SCP-ES-119,/scp-es-119,The Ministry of Abnormalities of Cuba,+6,05 Aug 2019 22:01,Agente marw,very high,+14,04 Aug 2019 17:58,Uncle Nicolini,guru,4.900664776855859,4.89168613708385
SCP-ES-117,/scp-es-117,A second chance,+4,06 Jun 2019 16:53,Uncle Nicolini,guru,+16,17 Mar 2019 03:06,Dc_Yerko,very high,5.203791409254936,5.233454608416514
SCP-ES-113,/scp-es-113,Special Deal,+8,11 Sep 2019 04:37,Almarduk,high,+19,19 Feb 2019 19:16,Dc_Yerko,very high,6.185223617857558,6.319607183326892
SCP-ES-112,/scp-es-112,🤑🔫 ,+9,17 Feb 2019 20:17,Uncle Nicolini,guru,+25,17 Feb 2019 16:51,Uncle Nicolini,guru,4.711406946864065,4.752963031190654
SCP-ES-105,/scp-es-105,Stargazing The Other Stars,+8,29 Aug 2018 11:35,morhadow,guru,"+23,+23,+23,+23",06 Jun 2018 14:03,morhadow,guru,4.582836679668065,4.476872635554445
SCP-ES-103,/scp-es-103,Frustrated Musician,+2,24 Sep 2018 01:20,RobinDrake3,very high,+7,02 Sep 2018 18:09,RobinDrake3,very high,5.210900586009425,5.217031170475213
SCP-ES-099,/scp-es-099,The Piano Concert,+5,04 Feb 2018 05:33,D-Stro,none,+45,17 Oct 2013 22:38,Mulnero,high,5.549796507371925,5.533280006448718
SCP-ES-100,/scp-es-100,"For Your Safety, Please Use the Stairs",+6,21 Aug 2019 18:23,morhadow,guru,+38,28 Aug 2018 21:59,Belasias,high,1.8507776717958215,1.6939370583988573
SCP-ES-098,/scp-es-098,Kynodontos,+4,12 Jun 2018 15:45,Yorick1,guru,+14,30 Apr 2017 05:52,Doctor Von Braun,very high,5.925425015518066,5.927408260912407
SCP-ES-091,/scp-es-091,Eugenics Nightmare,+5,11 Jun 2018 16:00,Yorick1,guru,+8,16 Jul 2016 14:42,Doctor Von Braun,very high,6.406141742574788,6.287656711684878
SCP-ES-083,/scp-es-083,deCipher'em All v1.6,+1,18 Jul 2017 18:41,Dr Blur,medium,+19,16 Apr 2017 22:01,ElInventor,very high,5.58673617051882,5.4678694616282755
SCP-ES-089,/scp-es-089,A Contagious Threat,-1,17 Jul 2017 10:01,SangreDeReptil,very high,+5,28 Oct 2013 18:39,DrManticore,high,5.0878485587068045,5.127563981450455
SCP-ES-081,/scp-es-081,Gluttony,+4,10 Feb 2018 18:00,The Minuteman,very high,+15,07 Oct 2017 03:09,The Minuteman,very high,5.601493193539985,5.5114117183319795
SCP-ES-071,/scp-es-071,Written Message on the Skin,+3,17 Jun 2018 04:31,Yorick1,guru,+8,11 Nov 2014 21:50,Doctor Von Braun,very high,5.891977223123715,5.814990936679317
SCP-ES-065,/scp-es-065,"""Vysserath""",0,02 Jul 2018 18:37,Yorick1,guru,+5,20 Jan 2015 16:50,JonRol,low,5.504720004916769,5.46587845917306
SCP-ES-061,/scp-es-061,Alternative VCR,+14,10 May 2017 01:29,Raggabrash,high,+26,16 Dec 2013 22:46,Doctor Von Braun,very high,5.648917939288,5.582866564403898
SCP-ES-059,/scp-es-059,Thirteen Little Fingers,+5,19 May 2018 08:17,Dr Reach,guru,+9,21 Mar 2018 16:49,Dr Reach,guru,3.665825928156792,3.675122408004749
SCP-ES-056,/scp-es-056,Intangible Wall,+4,18 Jul 2017 07:52,SangreDeReptil,very high,+8,04 Feb 2016 21:37,ElInventor,very high,4.940467762452829,4.979688348334273
SCP-ES-054,/scp-es-054,The Garden Gnome Gardeners,+3,12 Oct 2018 21:46,RobinDrake3,very high,+14,09 Jul 2017 15:19,ElInventor,very high,5.579115544628471,5.580782800884761
