scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,italianRating,italianDate,italianAuthor,italianAuthorKarma,Original Entropy,Translated Entropy
SCP-039-IT,/scp-039-it,Cordless Telephone,1.0,01 Sep 2018 18:02,Afro Gufo,very high,15.0,11 Sep 2017 07:48,Dr Nucleo,high,6.408377112793841,6.29257955249817
SCP-037-IT,/scp-037-it,Subtle Vibration,7.0,03 Jul 2018 18:25,Mr Abadede,very high,14.0,27 Jan 2018 17:16,Mr Abadede,very high,6.711848528487755,6.518370078783407
SCP-032-IT,/scp-032-it,,6.0,20 Aug 2018 14:18,Afro Gufo,very high,19.0,10 Jul 2017 20:46,Mr Abadede,very high,6.652573879432246,6.436720505136166
SCP-025-IT,/scp-025-it,Kangaroo Mother,1.0,14 Jun 2019 17:33,DrGraph,very high,10.0,08 Oct 2018 14:01,Dottssa_Riba_Nahi,high,5.469144060484835,5.260180253452532
SCP-024-IT,/scp-024-it,Rebar ಉ,5.0,27 Jun 2018 20:57,Mr Abadede,very high,15.0,17 Sep 2017 17:31,Mr Abadede,very high,6.195921797147453,5.924633426466441
SCP-022-IT,/scp-022-it,Legion,1.0,23 Aug 2019 12:02,DrGraph,very high,9.0,21 Jun 2018 15:52,DrGraph,very high,5.680515700596245,5.2106988708942605
SCP-019-IT,/scp-019-it,E-15 Chimera,4.0,26 Aug 2018 20:43,DrGraph,very high,16.0,21 Aug 2017 17:57,DrGraph,very high,6.016623621840218,5.807747670166668
SCP-017-IT,/scp-017-it,Sentient USB Pendrive,3.0,30 Aug 2019 12:08,almosca99,low,16.0,28 Jan 2016 20:39,Christopher Robin,none,5.233678754553421,5.122950113684361
SCP-016-IT,/scp-016-it,Uncertain Videogame,1.0,04 Aug 2019 10:38,almosca99,low,25.0,23 Feb 2018 19:35,Edivad,medium,5.849728026469213,5.552620754964877
SCP-013-IT,/scp-013-it,Sentient Tornado,5.0,02 Apr 2017 19:10,Ashelf,high,16.0,20 Mar 2017 19:55,Ashelf,high,5.4244669064194255,4.934687437077679
SCP-010-IT,/scp-010-it,Parental Care,13.0,07 Mar 2017 18:00,Afro Gufo,very high,21.0,23 Feb 2017 22:57,Afro Gufo,very high,6.121015898992224,5.919691553616726
SCP-008-IT,/scp-008-it,The Hotel,2.0,01 May 2017 23:37,Afro Gufo,very high,6.0,01 Jan 2016 20:00,Ashelf,high,5.003654038027963,4.951544871755564
SCP-003-IT,/scp-003-it,The Globe,2.0,22 Jun 2018 17:04,Omega Fallon,medium,18.0,06 Feb 2017 01:32,Afro Gufo,very high,5.561295979374968,5.459588074413409
SCP-001-IT,/scp-001-it,Awaiting De-classification [Blocked],,14 Jun 2019 18:30,DrGraph,very high,,11 Feb 2017 16:20,Afro Gufo,very high,4.302874361323694,4.132851897677344
