scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,portugueseRating,portugueseDate,portugueseAuthor,portugueseAuthorKarma,kld
SCP-177-PT,/scp-177-pt,Time Travelling Lottery,+2,10 Aug 2018 23:09,slashannemoo,very high,+29,14 May 2018 14:52,EryxHatchuk,medium,0.7818093840272576
SCP-101-PT,/scp-101-pt,Manor of Madness,+3,14 Jul 2018 21:41,slashannemoo,very high,+14,08 Jun 2018 00:55,iagosilame,medium,0.925751183683539
SCP-100-PT,/scp-100-pt,Sonic Flashlight,+8,21 Jun 2018 00:52,slashannemoo,very high,+13,16 May 2018 00:57,EryxHatchuk,medium,0.8206371332156548
SCP-088-PT,/scp-088-pt,This Machine Kills Commies,"+3,+3,+3,+3,+3,+3",30 Sep 2019 03:10,slashannemoo,very high,+19,10 Jan 2019 01:46,Vintner,high,1.0078736801019819
SCP-057-PT,/scp-057-pt,The Abandoned Hospital,"+2,+2,+2,+2,+2,+2",26 Aug 2019 02:34,slashannemoo,very high,+14,27 Nov 2018 02:25,Alecx Ward,high,1.1996993522886779
SCP-055-PT,/scp-055-pt,Adaptive Tactical Armour for Containment and Assault,"+4,+4,+4,+4,+4,+4",28 Jul 2019 19:06,slashannemoo,very high,"+19,+19,+19,+19,+19,+19",25 Apr 2019 00:47,slashannemoo,very high,1.0500450620046657
SCP-050-PT,/scp-050-pt,The Sack Man,+3,15 Aug 2018 06:15,slashannemoo,very high,+11,30 Jul 2018 01:24,Crowborn,medium,0.6996429023744112
SCP-030-PT,/scp-030-pt,Cultural Heritage,+1,21 Sep 2019 00:35,ZeroMan,high,+8,13 Dec 2018 22:46,Uilo Cruz,high,0.9731934635641891
SCP-021-PT,/scp-021-pt,Crystal Theatre,+3,11 Oct 2018 01:06,slashannemoo,very high,"+13,+13,+13,+13,+13,+13",17 Sep 2018 23:38,slashannemoo,very high,1.1949237164695563
SCP-011-PT,/scp-011-pt,,+4,12 Aug 2018 00:58,slashannemoo,very high,+15,20 Jul 2018 22:18,slashannemoo,very high,1.4422576627109245
SCP-005-PT,/scp-005-pt,The Reason Why Dendrophobia Exists,+2,24 Mar 2019 20:40,lucasnetinho,medium,+15,01 Nov 2017 23:42,NaxinD,very high,0.375125092881958
SCP-004-PT,/scp-004-pt,The Soldier and the Bomb,+7,14 May 2018 13:41,EryxHatchuk,medium,+20,29 Apr 2018 21:27,EryxHatchuk,medium,0.9981719021001452
SCP-002-PT,/scp-002-pt,Women's Magazine,+5,24 Mar 2018 00:46,Me bane hahaha,medium,+44,05 Feb 2018 12:05,Silvacrest,very high,1.0452248417108227
