,title,location,price,size
0,$199 SECURITY DEPOSIT! AMAZING SHALER LOCATION! WILL GO FAST,1616 Mt Royal Blvd,675,1br
1,5 MINS FROM LAWRENCEVILLE! CHARMING NEIGHBORHOOD! FOX CHAPEL SCHOOLS!,231 5TH ST,990,2br
2,Welcome Home!,nan,885,"2br,                   970ft,"
3,"Oakland: 5-Bedroom House - Close to The Pete, Athletic Fields, Carlow",Dunseith St,2300,5br
4,"3253 Kennett Sq, 1 bedroom",Oakland,800,1br
5,"$1245 2BED PROPERTY PITTSBURGH - OPEN FLOORPLAN, EXTRA STORAGE!",Pittsburgh PA 15232,1245,2br
6,"Corporate Housing, BBQ Grills, Beautifully Landscaped Grounds",1500 eagle ridge dr,970,"1br,                   819ft,"
7,RENT OR RENT TO OWN in Arnold (Pittsburgh) 3 bedroom,Pittsburgh Arnold,850,3br
8,★NOW or March 1--Lots of Light--Converted Mansion--AC--Heat Incld★,Point Breeze / Osage Lane @ Card Lane,1405,"2br,                   1480ft,"
9,★Available May 1--Walkable--AC--Heat Included--Great Location★,Shadyside/ Ellsworth Ave @ Bellefonte St,1180,"1br,                   725ft,"
10,★AC--Heat Incld--Hardwood--Near Universities--NOW or March 1★,Squirrel Hill / Hobart St @ Wightman St,1070,"1br,                   716ft,"
11,"duplex with 10x10 deck, garage, courtyard wd hookups 2nd flr","ross twp, North Hills, I279, cranberry",990,"2br,                   916ft,"
12,★Available July 1--Pets Welcome--AC--Heat Included--Near Parkway★,Squirrel Hill / Murray Ave @ Forward Ave,1075,"1br,                   770ft,"
13,★Available Feb 1--Shopping Nearby--AC--Heat Incld!--Hardwood Floors★,Shadyside/ Ellsworth Ave @ Bellefonte St,1150,"1br,                   700ft,"
14,★Available NOW or March 1--Cats/Dogs OK--AC--Heat Incl--Near Parkway,Squirrel Hill / Murray Ave @ Forward Ave,1075,"1br,                   770ft,"
15,Open Layout for this sun filled Townhouse! W/D in unit! 1 Month Free!,Oakland,1650,"2br,                   1033ft,"
16,Beautiful 3 Bedroom home in East Hills Pittsburgh,East Hills Pittsburgh Wilkinsburg,925,3br
17,RENT A HOUSE INSTEAD!!!,"NORTH, SOUTH, CITY",2240,n
18,"Fantastic 3 bedroom, 2.5 bathroom Townhome",Butler,945,"3br,                   1130ft,"
19,1 bedroom 1 bath apartment for rent,Beaver falls,650,1br
20,2 Bedroom 2 Bathroom Second Floor Apartment,Butler,859,"2br,                   918ft,"
21,2 Bedroom 1.5 Bath Townhouse,Butler,829,"2br,                   960ft,"
22,1 Bedroom Apartment,Butler,759,"1br,                   640ft,"
23,1 bedroom efficiency  Aspinwall /available 3/1/2019,aspinwall,525,1br
24,Regent Square!! Ready NOW for move in! Off Street Parking! Call Now!,Regent Square / Squirrel Hill,845,2br
25,$199 SECURITY DEPOSIT 1 BED IN THE BEST COMMUNITY AROUND WALDORF PARK,103 McKnight Circle,725,1br
26,1 BR Next to Schenley Park! Close to CMU! Available August 1st!!,Squirrel Hill,995,1br
27,Lots of Updates Here! New AC and W&D in Unit! Ready Now! Call Us!,Oakland / University of Pittsburgh,2060,4br
28,Studio Next to Schenley Park!! August 1st!! Close to CMU,Squirrel Hill / Carnegie Mellon,725,n
29,Large 1 BR With Balcony! Great Squirrel Hill Location!,Squirrel Hill,1145,1br
30,Updated Townhouse in Penn Hills! Patio! March 1st! Call NOW!,Penn Hills,895,2br
31,Dump that apartment - Rent a home instead!,North Suburbs,2125,3br
32,Ideal North Hills One Bedroom w/ Free Heat in Convenient Location!,"Avalon, North Hills, Bellevue",695,1br
33,"1 bedroom - Dishwasher, Elevators, Cable Ready",nan,1325,"1br,                   766ft,"
34,Updated Kitchen! Quiet Location! All Elec. No Gas Bill! Call Today!,Plum / New Kensington,595,1br
35,HARDWOOD 1 BEDROOM $199 SECURITY DEPOSIT,Pittsburgh,799,1br
36,REDUCED 1 BED FOR FEB! ONLY $199 SECURITY DEPOSIT! NORTH HILLS!,103 McKnight Circle,650,1br
37,RENT A HOUSE INSTEAD!!!,"NORTH, SOUTH, CITY",2240,n
38,"Single Family Homes for Rent - North, South, City","North, South, City",1650,3br
39,Incredible House With Fenced Yard With Split Room Floor Arrange,nan,580,n
40,GREAT DEAL GREAT LOCATION! $199 DEPOSIT!,103 McKnight Circle,725,1br
41,Centrally Located Shadyside - 2 Bedroom W/ Heat Included!! Avail Now!,"Shadyside, Squirrel Hill, East End, Friendship, Carnegie Mel",1225,2br
42,"LARGE Duplex, 1/2 Block to Colfax, Minutes to Murray Ave, NEW W&D!",Squirrel Hill,1425,3br
43,"Newly Renovated Townhouse, Porch & Yard, Polished Wood Floors, Feb 1st",Regent Square - Frick Park,1299,"2br,                   1167ft,"
44,"Great Location Close to Parkway, Town => Avail Apr 1!  Call Now to See",Greentree,705,1br
45,Beechview Rent-2-Own! EZ Qual and Low Down!,Beechview,995,"3br,                   1832ft,"
46,1Bed/1 Bath Pittsburgh $1035!! Stop By Today,15232,1035,1br
47,Remodeled 2 bedroom apartment in West Deer $800.00,"455 Sycamore Street, Tarentum",800,"2br,                   550ft,"
48,Remodeled 2 bedroom apartment in West Deer $800.00,"455 Sycamore street, Tarentum",800,"2br,                   550ft,"
49,Beautiful 2 bedroom townhomes!,North Hills,1206,"2br,                   1050ft,"
50,Beautiful 1500 sq.ft two bedrooms apartment,Highland Park,1100,"1500ft,"
51,"Updated, lovely one bedrooms available for rent!",North Hills,813,"1br,                   704ft,"
52,Remodeled Single bedroom apartment $675.00,"455 Sycamore street, Tarentum Pa west deer township",675,"1br,                   600ft,"
53,Roommate Wanted in Northside,North Side,650,n
54,"Garden Style Apartment, Pet Friendly, Private Patio, Courtyard, Aug 1",Regent Square - Frick Park,1039,"2br,                   1073ft,"
55,MOVE HOUSE TODAY- WED 1/30/19 TIME 1:30-3: 00 P.M.AND SUNDAY 1/27/19,"Pittsburgh, PA",748,2br
56,"IMMEDIATE MOVE-IN Tuesday, January 28&29 from 2pm to 4pm!","Pittsburgh, PA",748,2br
57,Full House for Rent in Beautiful Regent Square,Regent Square - Frick Park,1483,"3br,                   2237ft,"
58,Oakland. N Craig,Oakland,1895,n
59,in-law unit available,squirrel hill,750,1br
60,"Charming Studio, All Utilities Included, Wood Floors, Aug 1st",Regent Square - Frick Park,759,"346ft,"
61,Shadyside #10.  1st floor apartment,Maryland Ave,1850,n
62,"Pet Friendly Apartment, off street parking, in-unit laundry","lawrenceville, pittsburgh",1995,2br
63,"Nice Two Bedroom, Big Balcony Overlooks Tree Lined Brick Street",Regent Square - East Busway - Frick Park,1015,"2br,                   870ft,"
64,"Rent-2-Own in West View - Painter Special, but Low Down!",West View,1295,"4br,                   1282ft,"
65,"Rent-2-Own Your Own Home w/ Your Tax Return! Only $1,900 Down!",Pittsburgh,995,n
66,Rent-2-Own Your Own Home Today w/ Your Tax Return! As Little As $795/m,Pittsburgh,795,n
67,Munhall Rent-2-Own - Use Your Tax Return to Own Your Own Home!,Pittsburgh,895,"1320ft,"
68,North Side - Awesome unit!,Allegheny West,1995,"2br,                   1250ft,"
69,North Side - Pittsburgh's finest!!,Allegheny West neighborhood!,1495,"1br,                   1400ft,"
70,Brighton Heights Rent-2-Own! EZ Qual & Low Down!,Brighton Heights,995,"3br,                   1392ft,"
71,Hoodridge Terrace,Castle Shannon,725,"1br,                   800ft,"
72,Great Building!  Renovated!,Castle Shannon,875,"2br,                   950ft,"
73,Large 1 Bedroom in Oakland! August 2019. Short Walk to Campus!,"Oakland, University of Pittsburgh, Carnegie Mellon Universit",815,1br
74,Studio Next to Schenley Park!! August 1st!! Close to CMU,Squirrel Hill / Carnegie Mellon,725,n
75,Great Townhouse in the Heart of Penn Hills.  Avail: March 1st!!,"Penn Hills, Monroeville, Plum",895,"2br,                   1100ft,"
76,"♥8/1 Heart Of Shadyside, HW, W/D, Stainless Appliances, A/C",5727 Elwood St. Shadyside,1999,"2br,                   1150ft,"
77,Large 1 BR With Balcony! Next to Schenley Park! A Must See!! Call Now!,Squirrel Hill / Carnegie Mellon,1145,1br
78,Squirrel Hill - Next to Murray Ave! August 1st!! Only Pay Electric!,Squirrel Hill,805,1br
79,"Oakland Duplex Close to Carlow!! August 23, 2019 So Close to Class!!",Oakland / University of Pittsburgh,1400,3br
80,Great 3 BR @ Bates & McKee!! New Kitchen! Laundry in Bldg!,Pittsburgh / Oakland / Pitt,1775,3br
81,"♥8/1/19-On The Bus Line, Close To Pitt/CMU, Hw & Carpet, C/A, Kit w/DW",4821 Centre Ave. North Oakland,2690,"4br,                   1850ft,"
82,Fall 2019 - Short Walk to Pitt Campus! Great Rate - Good Space!!!!,"Oakland, University of Pittsburgh, Carnegie Mellon Universit",695,n
83,August 2019 availability,South Oakland,1195,n
84,"♥8/1/19- Across FromWest Penn Hosp., Hw Flrs, Kit w/ Dw & Ceramic Flrs",316 S. Mathilda St. Friendship/Bloomfield,920,"1br,                   510ft,"
85,"♥4/1/2019 or 5/1/19-Updated, HW, Granite Counters, A/C",5720 Stanton Ave Highland Park,920,"1br,                   760ft,"
86,"♥ASAP - 2/1 - Converted Victorian, Bright, Spacious, Lots Of Windows",5721 Stanton Ave Highland Park,1040,"2br,                   900ft,"
87,Your Oakland Home Away From Home!! August 2019!!,Oakland / Carlow / Pitt,1475,3br
88,3 Bed Townhouse Oakland Nice Size Bedrooms! August 2019,Oakland,1475,3br
89,Spacious 2 BR - S Aiken and 5th!! Avail for August 1st! A Must See!!,Shadyside/Pittsburgh,1525,"2br,                   900ft,"
90,Squirrel Hill - Next to Murray Ave! August 1st!! Only Pay Electric!,Squirrel Hill,805,1br
91,"Great Oakmont Townhouse! 2 BR with Garage, Basement!",Oakmont,1095,2br
92,Affordable 1 Bed in Convenient North Hills Location! Avail April 1st,"Avalon, North Hills, Bellevue",695,1br
93,Spacious 2 BR Available for April! Great Bellevue Community!,Bellevue / Avalon,865,2br
94,2 bedroom in heart of Oakland!!!,3401 Forbes ave,1450,2br
95,2-two bedroom apartments for rent,Arnold,675,"2br,                   1000ft,"
96,"❅ AUG '19 - Spacious, eat in kitchen, CATS OK! PARKING!",Point Breeze,745,1br
97,809 Everglade Dr Elizabeth,nan,900,2br
98,Fantastic 1 BR'S On Ellsworth Avenue!,Shadyside / UPMC / PITT / CMU,935,1br
99,❆ AUG - NEWLY RENO'D - HW floors throughout - A/C - Spacious,Highland Park,1299,"2br,                   1000ft,"
100,"2 bedroom - Stainless Steel Appliances, Washer and dryer Included",nan,1560,"2br,                   1075ft,"
101,❅AUG '19 Updated kitchen/On bus Line/Quiet Neighborhood,Morningside,990,2br
102,"❅ AUG '19 Renovated, W/D IN UNIT! Cats OK! Walk to hospitals, shopping",Shadyside,1940,"2br,                   1050ft,"
103,❆ AUG '19 - UPDATED KITCHEN - HW floors throughout - A/C - Parking,Pittsburgh,1525,2br
104,3 bedroom/2 bath House in pittsburgh .,pittsburgh,900,n
105,Bellevue Studio - Block from Bus Line - OPEN LAYOUT - Ready for March!,Bellevue,556,n
106,★NOW or March 1--Pet Friendly!--Heat Included!--AC--Busine!★,Squirrel Hill / Murray Ave @ Forward Ave,1265,"2br,                   850ft,"
107,Renting for May 2019,Friendship,680,n
108,North Side - Pittsburgh's finest!!,Allegheny West neighborhood!,1495,"1br,                   1400ft,"
109,North Side - Awesome unit!,Allegheny West,1995,"2br,                   1250ft,"
110,"Ready for July move in, Free off street parking",Friendship,865,1br
111,Hoodridge Terrace,Castle Shannon,725,"1br,                   800ft,"
112,Renting for Fall Semester 2019,South Oakland,1175,2br
113,Great Building!  Renovated!,Castle Shannon,875,"2br,                   950ft,"
114,★February 1--AC--Hardwood Floors--Closet Space--Heat Incld!★,N. Oakland/ N. Dithridge St @ Centre Ave,1045,"1br,                   650ft,"
115,★AC--Great Location--Pet Friendly--Available April 1★,Shadyside/ Ellsworth Ave @ Bellefonte St,1150,"1br,                   710ft,"
116,★FLEXIBLE Lease End Date!-Quick Bus Ride to Campus-Avail Feb 1★,Shadyside / S. Aiken Ave @ Centre Ave,1265,"1br,                   720ft,"
117,★Available March 1--Pets Welcome--AC--Heat Included--Near Parkway★,Squirrel Hill / Murray Ave @ Forward Ave,1075,"1br,                   770ft,"
118,"RENT HOUSES in Franklin Park, Wexford, McCandless, Cranberry",North Suburbs,1460,n
119,Renting NOW for Fall Semester,South Oakland,1220,2br
