title,location,price,size
$199 SECURITY DEPOSIT! AMAZING SHALER LOCATION! WILL GO FAST, (1616 Mt Royal Blvd),$675,"
                    1br -
                "
5 MINS FROM LAWRENCEVILLE! CHARMING NEIGHBORHOOD! FOX CHAPEL SCHOOLS!, (231 5TH ST),$990,"
                    2br -
                "
Welcome Home!,,$885,"
                    2br -
                    970ft, -
                "
"Oakland: 5-Bedroom House - Close to The Pete, Athletic Fields, Carlow", (Dunseith St),$2300,"
                    5br -
                "
"3253 Kennett Sq, 1 bedroom", (Oakland),$800,"
                    1br -
                "
"$1245 2BED PROPERTY PITTSBURGH - OPEN FLOORPLAN, EXTRA STORAGE!", (Pittsburgh PA 15232),$1245,"
                    2br -
                "
"Corporate Housing, BBQ Grills, Beautifully Landscaped Grounds", (1500 eagle ridge dr),$970,"
                    1br -
                    819ft, -
                "
RENT OR RENT TO OWN in Arnold (Pittsburgh) 3 bedroom, (Pittsburgh Arnold),$850,"
                    3br -
                "
★NOW or March 1--Lots of Light--Converted Mansion--AC--Heat Incld★, (Point Breeze / Osage Lane @ Card Lane),$1405,"
                    2br -
                    1480ft, -
                "
★Available May 1--Walkable--AC--Heat Included--Great Location★, (Shadyside/ Ellsworth Ave @ Bellefonte St),$1180,"
                    1br -
                    725ft, -
                "
★AC--Heat Incld--Hardwood--Near Universities--NOW or March 1★, (Squirrel Hill / Hobart St @ Wightman St),$1070,"
                    1br -
                    716ft, -
                "
"duplex with 10x10 deck, garage, courtyard wd hookups 2nd flr"," (ross twp, North Hills, I279, cranberry)",$990,"
                    2br -
                    916ft, -
                "
★Available July 1--Pets Welcome--AC--Heat Included--Near Parkway★, (Squirrel Hill / Murray Ave @ Forward Ave),$1075,"
                    1br -
                    770ft, -
                "
★Available Feb 1--Shopping Nearby--AC--Heat Incld!--Hardwood Floors★, (Shadyside/ Ellsworth Ave @ Bellefonte St),$1150,"
                    1br -
                    700ft, -
                "
★Available NOW or March 1--Cats/Dogs OK--AC--Heat Incl--Near Parkway, (Squirrel Hill / Murray Ave @ Forward Ave),$1075,"
                    1br -
                    770ft, -
                "
Open Layout for this sun filled Townhouse! W/D in unit! 1 Month Free!, (Oakland),$1650,"
                    2br -
                    1033ft, -
                "
Beautiful 3 Bedroom home in East Hills Pittsburgh, (East Hills Pittsburgh Wilkinsburg),$925,"
                    3br -
                "
RENT A HOUSE INSTEAD!!!," (NORTH, SOUTH, CITY)",$2240,
"Fantastic 3 bedroom, 2.5 bathroom Townhome", (Butler),$945,"
                    3br -
                    1130ft, -
                "
1 bedroom 1 bath apartment for rent, (Beaver falls),$650,"
                    1br -
                "
2 Bedroom 2 Bathroom Second Floor Apartment, (Butler),$859,"
                    2br -
                    918ft, -
                "
2 Bedroom 1.5 Bath Townhouse, (Butler),$829,"
                    2br -
                    960ft, -
                "
1 Bedroom Apartment, (Butler),$759,"
                    1br -
                    640ft, -
                "
1 bedroom efficiency  Aspinwall /available 3/1/2019, (aspinwall),$525,"
                    1br -
                "
Regent Square!! Ready NOW for move in! Off Street Parking! Call Now!, (Regent Square / Squirrel Hill),$845,"
                    2br -
                "
$199 SECURITY DEPOSIT 1 BED IN THE BEST COMMUNITY AROUND WALDORF PARK, (103 McKnight Circle),$725,"
                    1br -
                "
1 BR Next to Schenley Park! Close to CMU! Available August 1st!!, (Squirrel Hill),$995,"
                    1br -
                "
Lots of Updates Here! New AC and W&D in Unit! Ready Now! Call Us!, (Oakland / University of Pittsburgh),$2060,"
                    4br -
                "
Studio Next to Schenley Park!! August 1st!! Close to CMU, (Squirrel Hill / Carnegie Mellon),$725,
Large 1 BR With Balcony! Great Squirrel Hill Location!, (Squirrel Hill),$1145,"
                    1br -
                "
Updated Townhouse in Penn Hills! Patio! March 1st! Call NOW!, (Penn Hills),$895,"
                    2br -
                "
Dump that apartment - Rent a home instead!, (North Suburbs),$2125,"
                    3br -
                "
Ideal North Hills One Bedroom w/ Free Heat in Convenient Location!," (Avalon, North Hills, Bellevue)",$695,"
                    1br -
                "
