scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,japaneseRating,japaneseDate,japaneseAuthor,japaneseAuthorKarma
SCP-1978-JP,/scp-1978-jp,Sailor Suit and Machine Gun,+3,19 Jun 2018 23:13,Nasakurates ,medium,"+114,+114,+114,+114",18 Jun 2018 22:19,KanKan,guru
SCP-1732-JP,/scp-1732-jp,Toutei - ,+15,17 Jun 2018 12:33,Nasakurates ,medium,"+19,+19,+19,+19",03 Feb 2018 23:53,O-92_Mallet,very high
SCP-1944-JP,/scp-1944-jp,Unfortunate Flying Object,+3,17 Jun 2018 23:40,Nasakurates ,medium,"+18,+18,+18,+18",15 Jun 2018 16:26,Eqlipse,very high
SCP-1709-JP,/scp-1709-jp,Katana of Poetic Justice,0,12 Apr 2019 02:16,KoikeSanshouemon,very high,+8,24 Mar 2019 12:27,Jerry11,none
SCP-1475-JP,/scp-1475-jp,Target North Carolina!,+5,15 Feb 2017 14:32,Lil_Waddle,high,+353,20 Oct 2016 03:21,semiShigUre,very high
SCP-1431-JP,/scp-1431-jp,I Really Wanna make them into Moss.min.js,+6,18 Jun 2018 10:52,Nasakurates ,medium,+77,19 Jan 2018 13:24,Wanazawawww,very high
SCP-1407-JP,/scp-1407-jp,Chicks could remember,+2,16 Apr 2019 09:33,Stellarwind,high,+79,22 Jul 2018 08:44,kyougoku08,very high
SCP-1044-JP,/scp-1044-jp,For Those Who Will Listen,+1,10 Nov 2018 02:35,KoikeSanshouemon,very high,"+44,+44,+44,+44",01 Jul 2018 05:03,Fennecist,guru
SCP-905-JP,/scp-905-jp,Freddie’s Special Flight Show,+19,12 Feb 2017 15:28,C-Dives,guru,+274,13 Sep 2015 14:04,T_Miyabi,high
SCP-981-JP,/scp-981-jp,Wenkankanhoyaukamuy,+7,19 Sep 2017 14:58,Nederbird,high,+84,02 Jul 2016 16:37,jet0620,very high
SCP-830-JP,/scp-830-jp,Downfall of One Night Castle,+4,14 Mar 2017 15:24,C-Dives,guru,+164,08 Jul 2016 14:57,semiShigUre,very high
SCP-818-JP,/scp-818-jp,How great-,+4,09 Jun 2018 05:06,imaginary_num6er,none,+230,30 Jun 2016 10:50,HURUMOTO65,very high
SCP-646-JP,/scp-646-jp,A Retro-bender,+6,22 Jul 2018 09:05,Red_Selppa,very high,"+307,+307,+307,+307",21 Mar 2016 10:30,amamiel,very high
SCP-586-JP,/scp-586-jp,Snow Globes Past the Seell-By Date,+1,15 Sep 2019 12:40,C-Dives,guru,+104,02 Nov 2016 08:46,UttanKitago,medium
SCP-558-JP,/scp-558-jp,Bunch o' Chicks 'n' BIG MAMA,+4,14 Feb 2017 15:48,C-Dives,guru,+68,07 Nov 2016 09:58,locker,very high
SCP-488-JP,/scp-488-jp,,+11,28 Jul 2018 15:11,krt_w,very high,+431,05 Jun 2016 06:34,me_te_de_ko,very high
SCP-419-JP,/scp-419-jp,An Alternate History of Easter Island,+8,17 Feb 2017 16:13,C-Dives,guru,+104,10 Apr 2016 15:36,blackey,high
SCP-407-JP,/scp-407-jp,A Tub,+3,13 Mar 2017 15:35,C-Dives,guru,+26,12 Nov 2015 11:11,Linraw,high
SCP-404-JP,/scp-404-jp,Not Found,+43,25 Mar 2017 10:50,Tenten_518,very high,+644,21 Jun 2014 13:47,hal_aki,very high
SCP-280-JP,/scp-280-jp,A Shrinking Space-Time Anomaly,+23,16 Dec 2017 19:54,Tenten_518,very high,"+1129,+1129,+1129,+1129",15 Jan 2015 23:02,dr_toraya,very high
SCP-268-JP,/scp-268-jp,The Never-Ending Epic,+4,07 Oct 2018 02:59,imaginary_num6er,none,"+380,+380,+380,+380",22 Dec 2014 11:20,home-watch,high
SCP-240-JP,/scp-240-jp,Zero Instances of Locust,+10,14 Mar 2017 10:15,C-Dives,guru,"+421,+421,+421,+421",15 May 2014 21:29,dr_toraya,very high
SCP-209-JP,/scp-209-jp,A Safe-Class Object,+20,08 Feb 2017 07:04,Tenten_518,very high,+312,11 Dec 2014 03:18,dr_toraya,very high
SCP-199-JP,/scp-199-jp,Another Audience,"+4,+4,+4,+4",20 Jun 2019 13:42,Tanija,very high,+144,28 Jul 2014 15:36,grejum,very high
SCP-115-JP,/scp-115-jp,Nue,+4,17 May 2018 02:07,imaginary_num6er,none,+119,13 Jun 2014 11:38,k_u_m_a,very high
SCP-161-JP,/scp-161-jp,Eyling Inability,+18,17 Feb 2017 09:23,Lil_Waddle,high,"+467,+467,+467,+467",28 Nov 2014 15:04,undercat,low
SCP-100-JP,/scp-100-jp,Attic Room Space,+13,12 Feb 2017 13:17,Lil_Waddle,high,"+315,+315,+315,+315",29 Sep 2013 09:59,CheshireCheese,very high
SCP-040-JP,/scp-040-jp,There is a cat.,"+21,+21,+21,+21",17 Jun 2019 20:12,Tanija,very high,"+678,+678,+678,+678",25 Nov 2014 07:27,Ikr_4185,very high
SCP-019-JP,/scp-019-jp,A Common Bonobo,+7,13 May 2017 17:46,C-Dives,guru,+227,04 Dec 2013 02:38,tokage-otoko,very high
SCP-001-JP,/scp-001-jp,Awaiting De-classification [Blocked],,27 Feb 2018 12:32,SOYSOY_Kusagawa,guru,,22 Oct 2018 09:33,Okaka_Onigiri,very high
